Name	Id
Ahu Sieg	33958
Aiacute;da Jimeacute;nez	20976
Aibek Musaev	9405
Aibo Tian	29645
Aicha Ben Jrad	20652
Aidan C. Crook	30672
Aidan Hogan	8198
Aidan O'Sullivan	22425
Aiden R. Doherty	4665
Aidong Lu	17344
Aidong Zhang	3075
Aihua Li	18479
Aijuan Dong	8257
Aijun An	5282
Aikaterini Tzompanaki	36293
Aiming Wen	20088
Ainhoa Azqueta-Alzuacute;az	24888
Aiqing Huang	20340
Aiqun Du	14138
Airel Peacute;rez Suaacute;rez	22366
Airi Salminen	31101
Airu Yin	22491
Aishwarya N. Reganti	20220
Aisling Kelliher	26820
Aiste Pilvinyte	10955
Aisylu Khairullina	19105
Aitao Chen	29766
Aitor Soroa	29743
Aixin Sun	2498
Aiyou Chen	10426
Aizaz Anwar	35869
Ajay Dholakia	16199
Ajay Gupta	28490
Ajay Gupta 0004	5353
Ajay Gupta 0005	29667
Ajay Kalhan	8638
Ajay Kumar	26296
Ajay Shekhawat	29619
Ajay Yekkirala	28817
Ajesh Babu Shaj	21636
Ajinkya Kale	25593
Ajit A. Diwan	2913
Ajit K. Patankar	5500
Ajit Paul Singh	25897
Ajit Singh	29028
Ajita John	34350
Ajith Jujjuru	36948
Ajith Nagaraja Rao	15833
Ajith P. Madurapperuma	8391
Aju Thalappillil Scaria	15385
Akanksha Baid	1875
Akash Anil	31869
Akash Das Sarma	10734
Akhil Arora	11958
Akhil Kumar 0001	1327
Akhil Sahai	6325
Akhmed Umyarov	21963
Aki Hasegawa	5650
Aki Hirai	19937
Aki Kobayashi	7303
Aki Reijonen	29117
Akifumi Makinouchi	6895
Akiharu Sakata	6677
Akihiko Konagaya	5654
Akihiko Nakase	26774
Akihiko Takano	4570
Akihiro Inokuchi	17803
Akihiro Kishimoto	27387
Akihiro Kuwabara	4975
Akihiro Nakashima	28770
Akihiro Nakaya	28010
Akihiro Nishimoto	21242
Akihiro Takaichi	21664
Akihiro Yamaguchi	9230
Akihiro Yamamoto	20998
Akihito Tokuda	30212
Akiko Aizawa	30284
Akiko Kanaya	9019
Akiko Kondo	8236
Akiko N. Aizawa	36036
Akimichi Tanaka	34058
Akinobu Lee	5544
Akinori Abe	19636
Akinori Fujino	18794
Akinori Sato	33361
Akiomi Nishida	31140
Akira Hattori	8994
Akira Kawaguchi	12088
Akira Kinoshita	24571
Akira Kumano	29328
Akira Maeda	7666
Akira Matsumoto	8462
Akira Okada	17240
Akira Sasou	7398
Akira Tajima	25973
Akira Tsugita	16220
Akira Yasuda	17964
Akisato Kimura	19469
Akitsugu Watanabe	6268
Akiyoshi Matono	6773
Akiyoshi Nakamizo	7319
Akmal A. Younis	14237
Akmal B. Chaudhri	1087
Akon Dey	6747
Akram Salah	33822
Akrivi Vlachou	2894
Akshai K. Aggarwal	28247
Akshai Mirchandani	13619
Akshat Aranya	9152
Akshat Malu	35377
Akshat Verma	10170
Akshay Gadde	28823
Akshay Goel	23713
Akshay Java	27818
Akshay Kannan	142
Akshay Krishnamurthy	27613
Akshay More	29224
Akshay Naresh Modi	26055
Akshay Soni	28658
Akshaya Arora	8057
Al Borchers	4590
Al Geist	21415
Al Lee	27556
Al Mamunur Rashid	3612
Alaa R. Alameldeen	16172
Alaaeldin M. Hafez	21992
Aladdin Hafez	17160
Alain Barrat	15619
Alain Biem	13808
Alain Casali	25985
Alain Crolotte	6716
Alain Deacute;silets	31217
Alain Ketterlin	26937
Alain Leacute;ger	3201
Alain Pirotte	25
Alain Vanasse	18526
Alan Abe	24573
Alan Both	22565
Alan Clark	35848
Alan David Fekete	11439
Alan Dearle	16438
Alan Downing	14104
Alan E. Gelfand	16019
Alan E. Hubbard	25751
Alan Eckhardt	29860
Alan F. Dickey	12584
Alan F. Karr	28812
Alan F. Smeaton	1632
Alan Fekete	1449
Alan Fern	11711
Alan Feuer	34855
Alan G. Labouseur	4774
Alan G. Merten	12396
Alan Gates	14362
Alan Gavioli	10637
Alan Green	26892
Alan H. Goldfine	1497
Alan Hales	6108
Alan Halverson	7426
Alan Hanjalic	29793
Alan Herschtal	27433
Alan Hochberg	25735
Alan Hopkins	32998
Alan J. Demers	317
Alan J. Kent	16275
Alan Jay Smith	3010
Alan Jeffrey	12327
Alan Kuffer	10826
Alan Kwan	16408
Alan L. Cox	9447
Alan L. Rector	8281
Alan L. Tharp	8680
Alan Li	13473
Alan M. Friedman	26254
Alan M. Frieze	25577
Alan Medlar	29195
Alan Mislove	14800
Alan Murray	27991
Alan Nash	2859
Alan P. Sexton	36505
Alan P. Sheng	7706
Alan R. Hevner	15773
Alan Ratner	21856
Alan Ritter	27585
Alan S. Abrahams	18393
Alan S. Wagner	13651
Alan Said	4598
Alan Skelley	9087
Alan Sussman	1865
Alan Varghese	3542
Alan Wagner	28105
Alan Woodley	4296
Alanoly Andrews	36763
Alazel Acheson	11528
Alban Chesneau	23232
Alban Galland	9064
Alban Siffer	25602
Albert A. Rizzo	16511
Albert Angel	3109
Albert Arockiasamy	20829
Albert Atserias	23738
Albert Bifet	3478
Albert Burger	10445
Albert Croker	6164
Albert D'Andrea	305
Albert Jonathan	8499
Albert Levi	8735
Albert M. Lai	36580
Albert Maier	17146
Albert Marinez	27531
Albert Meltzer	34100
Albert Mo Kim Cheng	36083
Albert Sutojo	20105
Albert Vernon	10315
Albert Weichselbraun	37096
Albert Yu	5607
Albert-Laacute;szloacute; Barabaacute;si	28106
Albertas Caplinskas	1633
Alberto Abelloacute;	19404
Alberto Apostolico	7653
Alberto B. Diez	28324
Alberto Barroacute;n-Cedentilde;o	4505
Alberto Belussi	16004
Alberto Cenzato	24544
Alberto Corni	16758
Alberto D. Pascual-Montano	24012
Alberto Del Bimbo	3976
Alberto Garciacute;a-Molina	19422
Alberto Giretti	16960
Alberto Grand	9021
Alberto H. F. Laender	103
Alberto Introini	29393
Alberto J. Cantilde;as	31294
Alberto Lavelli	31424
Alberto Lerner	1663
Alberto Marchetti-Spaccamela	23578
Alberto Minetto	24548
Alberto Montresor	6450
Alberto Mozo	22269
Alberto O. Mendelzon	754
Alberto Pan	16677
Alberto Portilla	9213
Alberto Purpura	24550
Alberto Sabaini	35335
Alberto Salguero	7639
Alberto Sardinha	6500
Alberto Silvestri	16525
Alberto Tonon	31900
Alberto Trombetta	2290
Alberto d'Onofrio	1672
Alborz Geramifard	27639
Albrecht Rothermel	35603
Albrecht Schmidt 0002	810
Albrecht Zimmermann	18718
Alceu Ferraz Costa	20642
Alcino Cunha	24294
Aldelir Fernando Luiz	992
Aldo Bongio	11148
Aldo Castillo	10678
Aldo Franco Dragoni	36291
Aldo Gangemi	15366
Aldo Lipani	29522
Aldo Napoli	21839
Aldrin Montana	17546
Aleix Garrido	24238
Aleix Gimeacute;nez-Vantilde;oacute;	24088
Alejandra Caro	28027
Alejandra Lorena Paoletti	25149
Alejandro A. Vaisman	2296
Alejandro Abdelnur	13666
Alejandro Bassi	21236
Alejandro Bellogiacute;n	4743
Alejandro Correa Bahnsen	19021
Alejandro Estrella-Balderrama	11252
Alejandro Garciacute;a-Rudolph	19421
Alejandro Guerrero Gonzalez	13439
Alejandro Gutieacute;rrez	16519
Alejandro Jaimes	4654
Alejandro Loacute;pez-Ortiz	31929
Alejandro Makowski	35641
Alejandro Marcos Alvarez	36387
Alejandro Metke-Jimenez	32461
Alejandro Moreo	31957
Alejandro Mottini	23023
Alejandro Murua	26368
Alejandro P. Buchmann	118
Alejandro Pasos	32644
Alejandro Veen	26941
Alejandro de la Vega	29037
Alek Kolcz	12172
Alekh Agarwal	27679
Alekh Jindal	3156
Aleks Jakulin	25349
Aleksandar Bojchevski	26924
Aleksandar Dragojevic	24337
Aleksandar Icev	27796
Aleksandar Ignjatovic	33935
Aleksandar Lazarevic	17201
Aleksandar Matic	19260
Aleksandar Nikolov	23463
Aleksandar Stojanovic	32806
Aleksandar Stupar	6106
Aleksandar Vitorovic	7948
Aleksander Kolcz	18352
Aleksander Kotcz	3981
Aleksander Slominski	8001
Aleksander Wawer	20139
Aleksander Wieczorek	35070
Aleksandr Chuklin	15488
Aleksandr Farseev	29403
Aleksandr Vorobev	31240
Aleksandr Voskoboynik	14397
Aleksandr Y. Aravkin	20664
Aleksandra B. Slavkovic	18514
Aleksandra Korolova	8528
Aleksandra Lomakina	32056
Aleksandra Mojsilovic	17610
Aleksandra Slavkovic	21338
Aleksandras Surna	5033
Aleksandrs Slivkins	29945
Aleksi Hartikainen	28117
Aleksi Kallio	32681
Aleksy Schubert	33584
Alessandra Mileo	7944
Alessandra Raffaetagrave;	5495
Alessandra Russo	8578
Alessandro Bozzon	2220
Alessandro Brighente	24543
Alessandro Camerra	22512
Alessandro Campi	629
Alessandro Cucchiarelli	32424
Alessandro D'Atri	14177
Alessandro Epasto	25492
Alessandro Finamore	8791
Alessandro Fiori	34692
Alessandro Flammini	14938
Alessandro Ghio	17792
Alessandro Lori	22522
Alessandro Marani	31109
Alessandro Margara	23922
Alessandro Masci	7829
Alessandro Micarelli	31002
Alessandro Moschitti	19392
Alessandro Panconesi	15215
Alessandro Pappalardo	13278
Alessandro Raffio	9909
Alessandro Roncato	5496
Alessandro Rozza	27137
Alessandro Sordoni	31917
Alessandro Sperduti	19391
Alessandro Spinuso	24979
Alessandro Tiberi	23761
Alessandro Vespignani	14939
Alessio Bertone	3738
Alessio Conte	23925
Alessio Guerrieri	23055
Alessio Mazzanti	22889
Alessio Orlandi	4618
Alessio Rossi	22157
Alessio Signorini	28763
Alethia Hume	6466
Alex Acero	29436
Alex Aiken	18964
Alex Alves Freitas	22642
Alex Aussem	19738
Alex Averbuch	5058
Alex Badan	24539
Alex Beutel	15463
Alex Brown	19954
Alex C. Snoeren	26117
Alex Cheng	11858
Alex Chia-Yee Kean	1511
Alex Chojnacki	26712
Alex Clemmer	29706
Alex Collins	32834
Alex Constandache	33508
Alex Cozzi	36053
Alex D. Leow	26384
Alex D. Wade	15542
Alex Davies	25885
Alex Dekhtyar	1458
Alex Delis	1808
Alex Deng	14976
Alex Dorman	31486
Alex Endert	13150
Alex Erath	26901
Alex Fabrikant	15445
Alex Feinberg	7515
Alex G. Buuml;chner	276
Alex Galakatos	11318
Alex Gorelik	11879
Alex Groce	19365
Alex Guazzelli	3455
Alex J. Chin	23123
Alex Kononov	24104
Alex Kulesza	14861
Alex Libov	31086
Alex Lopez	34815
Alex Markov	26669
Alex Memory	10465
Alex Miller	13214
Alex Mircea Dumitru	11746
Alex Mohseni	18230
Alex Morales	25592
Alex N. Kalos	26283
Alex Nazaruk	13302
Alex Olieman	31999
Alex Pang	14118
Alex Penev	36890
Alex Po Leung	21561
Alex Raizman	11554
Alex Rasin	6019
Alex Roper	20648
Alex Russakovsky	5758
Alex Sandy Pentland	11513
Alex Skidanov	5611
Alex Sorokin	13509
Alex Thomo	983
Alex Tsukerman	12950
Alex Tyrrell	34935
Alex Wergeles	13633
Alex X. Liu	9104
Alexander A. Morgan	3486
Alexander A. Stepanov	35412
Alexander Aiken	9868
Alexander Albrecht	16182
Alexander Alexandrov	1673
Alexander Allan	17310
Alexander Artikis	24091
Alexander Avram	11152
Alexander B. Romanovsky	1448
Alexander Bachlechner	16797
Alexander Behm	8426
Alexander Bilke	6932
Alexander Boehm 0002	13957
Alexander Boldakov	12633
Alexander Borgida	522
Alexander Bouml;hm 0002	8342
Alexander Brodsky	433
Alexander Burnap	28199
Alexander C. Berg	16103
Alexander C. Loui	30171
Alexander Crea	3684
Alexander D. Cohn	34728
Alexander Degitz	24439
Alexander Drzezga	19995
Alexander F. Gelbukh	23042
Alexander Fonarev	17455
Alexander Frommelt	26226
Alexander G. Connor	5389
Alexander G. Gray	19121
Alexander G. Hauptmann	4675
Alexander G. Nikolaev	27271
Alexander G. Ororbia II	26339
Alexander Genkin	31601
Alexander Hall	23900
Alexander Hanna	33392
Alexander Hartenstein	24362
Alexander Hinneburg	3774
Alexander Hogenboom	34804
Alexander Holupirek	24738
Alexander J. Gibberd	20447
Alexander J. Pasik	13858
Alexander J. Ratner	12554
Alexander J. Smola	14675
Alexander K. Hudek	36880
Alexander Kalinin	11247
Alexander Katzdobler	5220
Alexander Kehlenbeck	36150
Alexander Kofman	24977
Alexander Kolesnikov 0002	35019
Alexander Kotopoulis	10372
Alexander Kotov	4107
Alexander Kramnik	7479
Alexander Kreutz	2856
Alexander Kurz 0002	19994
Alexander L. Wolf	1483
Alexander Lang	11468
Alexander Lerch	31152
Alexander Liu	21944
Alexander Lloyd	12662
Alexander Loewi	26465
Alexander Louml;ser	4794
Alexander M. Fraser	31615
Alexander M. Robertson	30271
Alexander Maedche	1441
Alexander Markowetz	8291
Alexander Mikhalev	17456
Alexander Mikheev	18711
Alexander Moshchuk	7841
Alexander Ororbia	35030
Alexander P. Kuleshov	18790
Alexander P. Topchy	18846
Alexander Pachev	12885
Alexander Porshnev	23029
Alexander Pretschner	36234
Alexander Pucher	14260
Alexander R. Statnikov	21278
Alexander Rasin	14232
Alexander Ratner	455
Alexander S. Kotov	37101
Alexander S. Szalay	401
Alexander S. Yeh	3484
Alexander Schauml;tzle	11783
Alexander Schil	24451
Alexander Schill	35879
Alexander Schnabl	25457
Alexander Serebrenik	23843
Alexander Shkapsky	3097
Alexander Stage	7756
Alexander T. Ihler	25668
Alexander Thiem	8316
Alexander Thomasian	7496
Alexander Thomson	3131
Alexander Tillmann	36183
Alexander Tiskin	1979
Alexander Tuzhilin	7674
Alexander Ulanov	6963
Alexander Ulianov	26186
Alexander Ulrich	14228
Alexander V. Bernstein	18791
Alexander Vaschillo	16689
Alexander Willett	32064
Alexander Yates	28605
Alexander Ypma	26156
Alexander Zeier	6868
Alexander Zeiss	7804
Alexander Zelikovsky	20791
Alexander Zgolinski	10316
Alexandr A. Kalinin	12983
Alexandr Andoni	14080
Alexandr V. Maslov	33375
Alexandra Chouldechova	15606
Alexandra Dango	28633
Alexandra Meliou	1392
Alexandra Olteanu	21626
Alexandra Poulovassilis	617
Alexandra Roatis	8246
Alexandra Roshchina	34762
Alexandre Aussem	19027
Alexandre Blanscheacute;	23168
Alexandre Evsukoff	4009
Alexandre Herrmann	7752
Alexandre Kouznetsov	21157
Alexandre Lefebvre	24112
Alexandre Mah	26893
Alexandre Nanchen	29967
Alexandre P. Francisco	34987
Alexandre Pereda-Bantilde;os	29448
Alexandre Pinto	36766
Alexandre Plastino	32856
Alexandre Riazanov	12714
Alexandre Termier	17395
Alexandre Torres	1442
Alexandre V. Evfimievski	8701
Alexandre V. Zamulin	9196
Alexandre Verbitski	13939
Alexandre X. Falcatilde;o	34553
Alexandrin Popescul	20225
Alexandros Belesiotis	24486
Alexandros Biliris	1324
Alexandros Efentakis	24620
Alexandros G. Dimakis	25497
Alexandros Kalousis	18468
Alexandros Karakasidis 0001	20415
Alexandros Karatzoglou	7108
Alexandros Koliousis	11079
